pmid,pub_year,journal,publication_types,mesh_terms
10721346,,The Medical journal of Australia,Journal Article,"Databases, Factual; Family Practice; Geography; Health Services Accessibility; Humans; Personnel Selection; Physicians; Rural Health Services; South Australia"
36638129,2023,"The Journal of hand surgery, European volume",Journal Article; Review,Humans; Hand Transplantation; Upper Extremity; Hand; Risk Assessment
14598201,2003,Planta medica,"Journal Article; Research Support, Non-U.S. Gov't","Adjuvants, Immunologic; Animals; Anti-Inflammatory Agents, Non-Steroidal; Biphenyl Compounds; Carrageenan; Complement Pathway, Alternative; Complement Pathway, Classical; Croton; Edema; Flow Cytometry; Free Radical Scavengers; Humans; Leukocytes; Mice; Phagocytosis; Phytotherapy; Picrates; Plant Oils; Rats"
6335966,1984,Australian veterinary journal,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Antibodies, Bacterial; Endometritis; Female; Gardnerella vaginalis; Haemophilus Infections; Horse Diseases; Horses; Vagina"
18682886,2009,Hernia : the journal of hernias and abdominal wall surgery,Comparative Study; Journal Article; Multicenter Study,"Adult; Aged; Aged, 80 and over; Cellulose, Oxidized; Female; Follow-Up Studies; Hemostasis, Surgical; Hemostatics; Hernia, Ventral; Humans; Laparoscopy; Male; Middle Aged; Postoperative Hemorrhage; Prosthesis Design; Prosthesis Implantation; Retrospective Studies; Surgical Mesh; Treatment Outcome; Young Adult"
36055179,2022,Epilepsy research,Journal Article; Multicenter Study,"Epilepsy, Frontal Lobe; Epilepsy, Generalized; Epilepsy, Temporal Lobe; Humans; Immunoglobulin E; Impulsive Behavior"
2612950,1989,Gigiena truda i professional'nye zabolevaniia,Comparative Study; English Abstract; Journal Article,"Adenine; Air Pollutants, Occupational; Flavin Mononucleotide; Pyrimidines; Spectrophotometry"
16089783,2005,"Physical review. E, Statistical, nonlinear, and soft matter physics","Evaluation Study; Journal Article; Research Support, Non-U.S. Gov't","Algorithms; Base Composition; Base Sequence; Chromosome Mapping; Computer Simulation; CpG Islands; DNA; Databases, Nucleic Acid; Genome, Human; Humans; Models, Chemical; Models, Genetic; Molecular Sequence Data; Pattern Recognition, Automated; Sequence Analysis, DNA"
35689800,2022,Allergy,"Meta-Analysis; Systematic Review; Journal Article; Research Support, Non-U.S. Gov't","Child; Pregnancy; Female; Humans; Anti-Bacterial Agents; Asthma; Hypersensitivity, Immediate; Food Hypersensitivity; Respiratory Sounds"
37249381,2023,Journal of the American Association of Nurse Practitioners,Journal Article,Humans; United States; Advanced Practice Nursing; Consensus; Certification; Physician Assistants; Nurse Practitioners
27861372,2016,Medicine,Journal Article; Observational Study,Adult; Biomarkers; E-Selectin; Female; Hemophilia A; Humans; Joint Diseases; Male; Middle Aged; P-Selectin; Predictive Value of Tests; Severity of Illness Index; Statistics as Topic; Taiwan; Vascular Cell Adhesion Molecule-1
25812559,2011,Korean journal of medical education,Journal Article,
1211653,1975,Anatomischer Anzeiger,Journal Article,"Congenital Abnormalities; Contracture; Female; Foot Deformities, Congenital; Foot Diseases; Humans; Male; Muscles; Toes"
12203402,2002,Environmental and molecular mutagenesis,"Journal Article; Research Support, Non-U.S. Gov't","Adult; Cells, Cultured; DNA Damage; Female; Humans; Hungary; Lymphocyte Activation; Lymphocytes; Male; Micronucleus Tests; Middle Aged; Mouth Mucosa; Occupational Exposure; Pesticides; Reference Values; Regression Analysis; Risk Factors"
34407008,2021,The journal of trauma and acute care surgery,Comparative Study; Journal Article,"Clinical Competence; Current Procedural Terminology; Female; Humans; Injury Severity Score; Male; Middle Aged; Patient Selection; Prognosis; Radiologists; Retrospective Studies; Rib Fractures; Surgeons; Tomography, X-Ray Computed"
530819,1979,Nordisk veterinaermedicin,Journal Article,"Animals; Buffaloes; Female; Kidney; Mammary Glands, Animal; Milk; Protein Binding; Sulfamethazine"
33395821,2020,International journal of surgery case reports,Case Reports; Journal Article,
35758955,2022,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,Journal Article,Adolescent; Child; Female; Humans; Male; Dissociative Disorders; Psychometrics; Retrospective Studies; Schizotypal Personality Disorder
37302720,2023,Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.","Humans; United States; Potassium, Dietary; Vascular Calcification; Nutrition Surveys; Blood Pressure; Cross-Sectional Studies; Risk Factors"
12764831,1999,Zhonghua er bi yan hou ke za zhi,"English Abstract; Journal Article; Research Support, Non-U.S. Gov't",Adolescent; Adult; Chronic Disease; Endoscopy; Female; Humans; Male; Middle Aged; Nasal Mucosa; Paranasal Sinuses; Postoperative Care; Retrospective Studies; Sinusitis
2789252,1989,"Journal of immunology (Baltimore, Md. : 1950)","Journal Article; Research Support, Non-U.S. Gov't","Adenosine Triphosphate; Animals; Cell Membrane Permeability; Cytotoxicity, Immunologic; Extracellular Space; Interleukin-2; Killer Cells, Natural; Membrane Potentials; Mice; Mice, Inbred BALB C; T-Lymphocytes, Cytotoxic"
8295604,1993,"Medizinische Klinik (Munich, Germany : 1983)",Clinical Trial; Comparative Study; English Abstract; Journal Article; Multicenter Study; Randomized Controlled Trial,"Acetaminophen; Adolescent; Adult; Aged; Dihydroergotamine; Double-Blind Method; Drug Therapy, Combination; Female; Humans; Male; Middle Aged; Migraine Disorders; Pain Measurement"
29368291,2018,Eating and weight disorders : EWD,Journal Article,"Adult; Anxiety; Body Image; Body Mass Index; Cognitive Behavioral Therapy; Female; Humans; Male; Middle Aged; Motivation; Obesity; Psychotherapy, Group; Treatment Outcome; Weight Loss"
7297096,1981,Current eye research,Journal Article,Animals; Biological Transport; Cornea; Endothelium; In Vitro Techniques; Rabbits; Sodium
30798947,2019,The American journal of cardiology,"Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't",Aged; Atherectomy; Chronic Disease; Coronary Angiography; Coronary Occlusion; Coronary Vessels; Female; Follow-Up Studies; Humans; Male; Middle Aged; Registries; Retrospective Studies; Risk Factors; Time Factors; Treatment Outcome
15986265,2005,Swiss medical weekly,Journal Article; Review,"Adult; Analgesics, Opioid; Cocaine-Related Disorders; Electrocardiography; Female; Humans; Long QT Syndrome; Male; Methadone; Torsades de Pointes"
23849061,2013,Sexual health,Comparative Study; Journal Article,Adolescent; Adult; Child; Chlamydia Infections; Data Collection; Databases as Topic; Female; Gonorrhea; Humans; Incidence; Insurance Claim Reporting; Male; Middle Aged; Sexually Transmitted Diseases; Syphilis; United States; Young Adult
17501040,2007,Physical review letters,"Journal Article; Research Support, Non-U.S. Gov't",
23106525,2012,The journal of physical chemistry. A,Journal Article,
30315329,2020,European journal of trauma and emergency surgery : official publication of the European Trauma Society,Journal Article; Observational Study,Adolescent; Adult; Aged; Central Nervous System Sensitization; Female; Humans; Hydrocortisone; Hypothalamo-Hypophyseal System; Male; Middle Aged; Pituitary-Adrenal System; Prospective Studies; Whiplash Injuries; Young Adult
37324807,2023,Research and reports in urology,Case Reports; Journal Article,
28738141,2017,Biochemistry,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",Base Sequence; DNA; G-Quadruplexes; Magnetics; Mutation; Nucleic Acid Conformation
26502665,2015,20 century British history,Historical Article; Journal Article,"Awards and Prizes; General Practice; Historiography; History, 20th Century; Humans; Politics; Societies, Medical; State Medicine; United Kingdom"
24752293,2014,Spinal cord,Journal Article,"Adolescent; Adult; Aged; Antitubercular Agents; Cervical Vertebrae; Child; Disability Evaluation; Female; Follow-Up Studies; Humans; Magnetic Resonance Imaging; Male; Middle Aged; Treatment Outcome; Tuberculosis, Spinal; Young Adult"
31968224,2020,Microbial pathogenesis,Journal Article,"Apoptosis; Biofilms; Cell Line; DNA Fragmentation; DNA, Bacterial; Epithelial Cells; Haemophilus Infections; Haemophilus influenzae; Humans; Respiratory Mucosa"
38635234,2024,Journal of biomechanical engineering,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Female; Uterine Contraction; Finite Element Analysis; Pregnancy; Humans; Models, Biological; Biomechanical Phenomena; Fetus; Uterus; Mechanical Phenomena"
35583562,2022,NTM,"Historical Article; Journal Article; Research Support, Non-U.S. Gov't","Academies and Institutes; Health Physics; History, 20th Century; Humans; Nuclear Energy; Radiation Protection; Republic of Korea; United States"
9694952,1998,The Journal of pharmacology and experimental therapeutics,"Journal Article; Research Support, U.S. Gov't, P.H.S.","Animals; Benzamides; Cell Division; Culture Media; Flow Cytometry; Indicators and Reagents; Injections, Intraventricular; Killer Cells, Natural; Macrophages; Male; Nitrites; Piperazines; Rats; Rats, Inbred F344; Receptors, Opioid, delta; Spleen; T-Lymphocytes; Thymus Gland"
33360947,2021,Bioresource technology,Journal Article,"Animals; Anti-Bacterial Agents; Cattle; Chlortetracycline; Composting; Drug Resistance, Microbial; Genes, Bacterial; Manure"
26246829,2015,Iranian journal of parasitology,Journal Article,
27167766,2016,Telemedicine journal and e-health : the official journal of the American Telemedicine Association,Journal Article; Observational Study,"Accelerometry; Adipose Tissue; Blood Pressure; Blood Pressure Monitoring, Ambulatory; Body Mass Index; Body Weight; Humans; Hypertension; Telemedicine; Walking"
12531510,2002,Brain research. Molecular brain research,"Journal Article; Research Support, Non-U.S. Gov't","Adult; Aged; Aged, 80 and over; Cell Size; Cerebral Cortex; Female; Humans; Huntingtin Protein; Huntington Disease; Immunohistochemistry; Male; Middle Aged; Nerve Tissue Proteins; Nuclear Proteins; Peptides; Protein Isoforms; TATA-Box Binding Protein"
29409235,2018,Foot and ankle surgery : official journal of the European Society of Foot and Ankle Surgeons,Journal Article,"Adult; Aged; Female; Flatfoot; Foot Deformities, Acquired; Humans; Magnetic Resonance Imaging; Male; Middle Aged; Orthopedic Procedures; Patient Satisfaction; Posterior Tibial Tendon Dysfunction; Retrospective Studies; Treatment Outcome"
24973764,2014,Gene,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Binding Sites; Cattle; Embryo, Mammalian; Endogenous Retroviruses; Expressed Sequence Tags; Gene Duplication; Gene Expression Regulation, Viral; Gene Ontology; Interferons; Introns; Phylogeny; Receptors, Thyroid Hormone; Thyroid Gland; Transcription Factors"
23750697,2013,Clinical and experimental immunology,Journal Article,"Adult; Biomarkers; Cohort Studies; Disease Progression; Female; Follow-Up Studies; Glomerulonephritis, IGA; Humans; Kidney Glomerulus; Male; Mannose-Binding Lectin; Middle Aged; Predictive Value of Tests; Prognosis; Remission Induction; Young Adult"
16807152,2006,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,"Journal Article; Research Support, Non-U.S. Gov't","BH3 Interacting Domain Death Agonist Protein; Carcinoma, Hepatocellular; DNA Mutational Analysis; Hepatocytes; Humans; Immunohistochemistry; Liver Neoplasms; Mutation; Phosphorylation; Polymorphism, Single-Stranded Conformational; bcl-Associated Death Protein"
16256077,2005,Brain research,"Journal Article; Research Support, Non-U.S. Gov't","Amyloid beta-Peptides; Animals; Cell Differentiation; Cell Line; Cholinergic Agents; Hemicholinium 3; Membrane Transport Proteins; Mice; Neurons; Peptide Fragments; Protein Kinase C; RNA, Messenger; Rats; Reverse Transcriptase Polymerase Chain Reaction; Signal Transduction"
26190723,2015,International journal of occupational medicine and environmental health,"Journal Article; Research Support, Non-U.S. Gov't; Review",Alcohol Drinking; Child; Child Behavior Disorders; Child Development; Epidemiologic Studies; Female; Global Health; Humans; Morbidity; Pregnancy; Prenatal Exposure Delayed Effects; Risk Factors; Smoking; Tobacco Smoke Pollution
32940456,2020,Environmental science & technology,"Journal Article; Research Support, Non-U.S. Gov't",California; Environmental Exposure; Environmental Pollutants; Female; Humans; Phthalic Acids; Pregnancy; Pregnant People
10810181,2000,Biochemistry. Biokhimiia,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Cell Nucleus; Dose-Response Relationship, Radiation; Gamma Rays; Glutathione Peroxidase; Liver; Male; Mice; Mice, Inbred C57BL; Mice, Inbred CBA; Microsomes, Liver; Organelles; Superoxide Dismutase; Superoxides"
28863147,2017,PloS one,Journal Article,"Adult; Aged; Carcinoma, Hepatocellular; Chemoembolization, Therapeutic; Diagnostic Imaging; Doxorubicin; Drug-Eluting Stents; Electronic Health Records; Female; Humans; Liver Function Tests; Liver Neoplasms; Male; Middle Aged; Retrospective Studies; Treatment Outcome"
13615305,1958,"Science (New York, N.Y.)",Journal Article,Humans; Male; Tooth
26154463,2015,Dental press journal of orthodontics,Case Reports; Journal Article,"Adolescent; Cephalometry; Child; Female; Humans; Incisor; Malocclusion, Angle Class I; Mandible; Overbite; Patient Care Planning; Tooth Extraction; Tooth Movement Techniques"
7008535,1980,Acta neurochirurgica. Supplementum,Journal Article,"Electric Stimulation; Electrodes, Implanted; Electroencephalography; Epilepsy; Epilepsy, Temporal Lobe; Follow-Up Studies; Humans; Sleep; Stereotaxic Techniques; Thiopental; Trephining"
36833975,2023,International journal of environmental research and public health,"Journal Article; Research Support, Non-U.S. Gov't","Coloring Agents; Charcoal; Quercus; Adsorption; Kinetics; Water Pollutants, Chemical; Thermodynamics; Water; Gentian Violet; Cations; Hydrogen-Ion Concentration"
8350676,1993,Life sciences,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",Blood Specimen Collection; Cold Temperature; Female; Humans; Immersion; Male
31485787,2019,The AAPS journal,"Journal Article; Research Support, Non-U.S. Gov't",Benzazepines; Child; Clinical Trials as Topic; Data Analysis; Enalapril; Enalaprilat; Humans; Quality Control; Tandem Mass Spectrometry
29455939,2018,Patient education and counseling,"Journal Article; Research Support, Non-U.S. Gov't; Systematic Review",Child; Clinical Trials as Topic; Communication; Decision Making; Humans; Infant; Medical Oncology; Neoplasms; Parents; Patient Selection; Pediatrics
16580225,2006,Cytokine,Journal Article,"Adipocytes; Adult; Caco-2 Cells; Cell Differentiation; Chondrocytes; Epithelial Cells; Gene Expression Regulation; Humans; Inflammation; Macrophages; Middle Aged; Monocytes; Receptors, Tumor Necrosis Factor; Signal Transduction; Tumor Necrosis Factor-alpha"
22426162,2012,European journal of pharmacology,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't","Aging; Animals; Animals, Newborn; Atomoxetine Hydrochloride; Attention Deficit Disorder with Hyperactivity; Avoidance Learning; Behavior, Animal; Disease Models, Animal; Dose-Response Relationship, Drug; Female; Male; Memory; Motor Activity; Neurotransmitter Uptake Inhibitors; Norepinephrine; Pregnancy; Prenatal Exposure Delayed Effects; Propylamines; Random Allocation; Rats; Rats, Inbred SHR; Rats, Inbred WKY; Trimethyltin Compounds"
28521508,2017,International journal of phytoremediation,Journal Article,"Biodegradation, Environmental; Coal; Fabaceae; Glomeromycota; Mining; Mycorrhizae; Rhizosphere; Seedlings; Soil; Soil Pollutants"
17916090,2008,Cytopathology : official journal of the British Society for Clinical Cytology,Journal Article; Review,"Biopsy, Fine-Needle; Cytological Techniques; Humans; Sensitivity and Specificity; Thyroid Nodule"
34622871,2021,Medicine,Journal Article,"Adolescent; Adult; Age Factors; Anti-HIV Agents; Cross-Sectional Studies; Drug Resistance, Viral; Female; Genotype; HIV Infections; HIV-1; Humans; Kenya; Male; Middle Aged; Prevalence; Sex Factors; Viral Load; Young Adult; pol Gene Products, Human Immunodeficiency Virus"
22267121,2012,Angewandte Chemie (International ed. in English),Journal Article,
30159324,2018,BioMed research international,Journal Article,"Aged; Aged, 80 and over; Arthroplasty, Replacement, Knee; Female; Follow-Up Studies; Humans; Knee Joint; Knee Prosthesis; Male; Middle Aged; Prosthesis Failure; Reoperation; Retrospective Studies"
687409,1978,Boletin medico del Hospital Infantil de Mexico,English Abstract; Journal Article,"Community Medicine; Education, Medical; Family Practice; Mexico"
9745714,1998,Diseases of aquatic organisms,"Journal Article; Research Support, Non-U.S. Gov't","Administration, Oral; Administration, Topical; Animals; Antibodies, Bacterial; Antigens, Bacterial; Bacterial Vaccines; Blotting, Western; Densitometry; Disease Models, Animal; Enzyme-Linked Immunosorbent Assay; Fish Diseases; Immunization Schedule; Immunization, Secondary; Injections, Intraperitoneal; Kinetics; Oncorhynchus mykiss; Random Allocation; Specific Pathogen-Free Organisms; Vaccination; Vibrio; Vibrio Infections"
8574266,1995,Biomedical instrumentation & technology,Comparative Study; Journal Article,Aniline Compounds; Carcinogens; Cyanates; Ethylene Oxide; Gamma Rays; Isocyanates; Polyurethanes; Safety; Sterilization
31349019,2019,Respiratory physiology & neurobiology,"Journal Article; Research Support, Non-U.S. Gov't","Adult; Diabetes Complications; Diabetes Mellitus, Type 2; Exercise; Female; Humans; Male; Middle Aged; Muscle, Skeletal; Oxygen Consumption"
33932983,2021,BMC genomics,Journal Article,"Birth Weight; Child; Genome-Wide Association Study; Genotype; Humans; Polymorphism, Single Nucleotide; Quantitative Trait Loci"
34693297,2021,Journal of health service psychology,Journal Article,
10994996,2000,Anatomy and embryology,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Axons; Basement Membrane; Cell Differentiation; Denervation; Extracellular Matrix; Female; Freezing; Microscopy, Electron; Pacinian Corpuscles; Rats; Rats, Wistar; Schwann Cells; Time Factors"
18833498,2008,"Ultraschall in der Medizin (Stuttgart, Germany : 1980)",Journal Article,"Adenocarcinoma; Colorectal Neoplasms; Combined Modality Therapy; Contrast Media; Humans; Image Enhancement; Image Processing, Computer-Assisted; Liver Neoplasms; Neoplasm Metastasis; Sensitivity and Specificity; Tomography, Spiral Computed; Ultrasonography; Ultrasonography, Doppler, Color; Ultrasonography, Interventional"
16822061,2006,Journal of biomedical optics,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Cell Culture Techniques; Cell Membrane; Equipment Design; Equipment Failure Analysis; Humans; Kinetics; Membrane Proteins; Metabolic Clearance Rate; Microarray Analysis; Microscopy, Fluorescence; Refractometry; Tumor Cells, Cultured"
10851233,2000,The Journal of biological chemistry,"Journal Article; Research Support, Non-U.S. Gov't","3T3 Cells; Androstadienes; Animals; COS Cells; Chromones; Dose-Response Relationship, Drug; Down-Regulation; Enzyme Activation; Enzyme Inhibitors; Mice; Morpholines; Phosphatidylinositol 3-Kinases; Protein Kinase C; Protein Serine-Threonine Kinases; Proto-Oncogene Proteins; Proto-Oncogene Proteins c-akt; Ribosomal Protein S6 Kinases; Signal Transduction; Sirolimus; Tetradecanoylphorbol Acetate; Wortmannin; Zinc"
10589003,1999,The Journal of allergy and clinical immunology,"Journal Article; Research Support, Non-U.S. Gov't","Adolescent; Asthma; Child; Female; Finland; Humans; Hypersensitivity, Immediate; Male; Middle Aged; Mycobacterium tuberculosis; Prevalence; Regression Analysis; Tuberculosis"
27141653,2016,Revue medicale de Liege,English Abstract; Journal Article,"Bipolar Disorder; Child; Child Psychiatry; Diagnosis, Differential; Humans"
37023592,2023,Diagnostic microbiology and infectious disease,Journal Article,"Adult; Child; Humans; Anti-Bacterial Agents; Bacterial Proteins; beta-Lactamases; Brazil; Carbapenem-Resistant Enterobacteriaceae; Hospitals, Pediatric; Klebsiella Infections; Klebsiella pneumoniae; Microbial Sensitivity Tests; Multilocus Sequence Typing; Retrospective Studies"
29037508,2017,Trends in pharmacological sciences,"Journal Article; Review; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural","Antineoplastic Agents; Drug Resistance, Neoplasm; Humans; Molecular Targeted Therapy; Neoplasms"
32968005,2020,mSphere,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Adult; Cohort Studies; Dose-Response Relationship, Immunologic; Dysentery, Bacillary; Female; Freeze Drying; Healthy Volunteers; Human Experimentation; Humans; Male; Middle Aged; Shigella sonnei; Young Adult"
37418658,2023,Journal of biophotonics,Journal Article,"Humans; Dihydrotestosterone; Hair; Hair Follicle; Alopecia; Receptors, Androgen"
12948047,2003,Theoretical medicine and bioethics,Journal Article,"Cross-Sectional Studies; Eligibility Determination; Ethics, Medical; Ethics, Research; Human Experimentation; Humans; Mandatory Programs; Patient Selection; Public Health; Research Subjects"
25250493,2014,Brazilian dental journal,"Journal Article; Research Support, Non-U.S. Gov't",Metal Nanoparticles; Microbial Sensitivity Tests; Silver
7072193,1982,Vox sanguinis,"Journal Article; Research Support, Non-U.S. Gov't",Antigen-Antibody Reactions; Blood Group Antigens; Carbohydrates; Hemagglutination Tests; Humans; Immune Sera; Mucoproteins; Precipitins; Protein Conformation; Uromodulin
35837737,2023,Urologia,Multicenter Study; Journal Article,Male; Humans; Retrospective Studies; Prostate; Prostatectomy; Prostatic Neoplasms; Prostate-Specific Antigen; Treatment Outcome
27725053,2016,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,"Journal Article; Research Support, Non-U.S. Gov't","Adult; Asthma; Brazil; Clinical Competence; Cross-Sectional Studies; Female; Humans; Male; Middle Aged; Physicians, Primary Care; Prevalence; Pulmonary Disease, Chronic Obstructive; Respiration Disorders; Surveys and Questionnaires; Tuberculosis, Pulmonary"
21791333,2011,The American journal of cardiology,Comparative Study; Journal Article,"Atrial Fibrillation; Catheter Ablation; Electrocardiography; Electrophysiological Phenomena; Female; Follow-Up Studies; Heart Conduction System; Humans; Incidence; Japan; Male; Middle Aged; Postoperative Period; Pulmonary Veins; Recurrence; Retrospective Studies; Tachycardia, Paroxysmal; Treatment Outcome"
8899484,1996,International urology and nephrology,Journal Article,Creatinine; Female; Humans; Hyperlipidemias; Kidney Diseases; Kidney Transplantation; Lipids; Male; Postoperative Complications; Prospective Studies; Sex Factors
24558576,2014,Ecology and evolution,Journal Article,
19350911,2009,Environmental science & technology,"Journal Article; Research Support, Non-U.S. Gov't","Alkalies; Bromides; Computer Simulation; Models, Chemical; New Jersey; Organic Chemicals; Pliability; Rivers; Time Factors; Water"
31417880,2019,Frontiers in pediatrics,Case Reports; Journal Article,
27565365,2016,Pediatric clinics of North America,Journal Article; Review,"Adolescent; Behavior Therapy; Child; Child Development; Child Health Services; Child, Preschool; Children with Disabilities; Evidence-Based Practice; Family Therapy; Humans; Infant; Infant, Newborn; Psychotherapy, Group; Secondary Prevention"
21579096,2010,"Acta crystallographica. Section E, Structure reports online",Journal Article,
34270099,2022,Perspectives in psychiatric care,Journal Article,Exercise; Female; Health Promotion; Humans; Menopause
9601553,1996,Scanning microscopy. Supplement,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Cells, Cultured; Chlorides; Electron Probe Microanalysis; Endometrium; Epithelial Cells; Female; Histocytological Preparation Techniques; In Vitro Techniques; Ion Transport; Liver; Male; Pancreas; Potassium; Rats; Rats, Sprague-Dawley; Sodium; Submandibular Gland; Sweat Glands; Tumor Cells, Cultured"
35881612,2022,PloS one,"Journal Article; Research Support, Non-U.S. Gov't",Aged; Cardiopulmonary Bypass; Humans; Male; Middle Aged; Neutrophils; One-Lung Ventilation; Oxygen; Prospective Studies; Pulmonary Veins
17349109,2007,Environmental entomology,"Journal Article; Research Support, Non-U.S. Gov't","Adaptation, Physiological; Animals; Aphids; Cold Temperature; Female; Oviposition; Reproduction; Seasons; Triticum; Wasps"
29703829,2018,Journal of medical genetics,"Journal Article; Research Support, Non-U.S. Gov't",Adult; Alleles; Alternative Splicing; Cell Adhesion Molecules; Computational Biology; Consanguinity; Genetic Association Studies; Genetic Predisposition to Disease; Genetic Variation; Genotype; Hearing Loss; Humans; Iran; Middle Aged; Mutation; Pedigree; Phenotype
1532847,1992,Life sciences,Comparative Study; Journal Article,"Animals; Behavior, Animal; Cocaine; Conditioning, Operant; Drug Synergism; Ethanol; Male; Mice; Motor Activity; Neurotransmitter Uptake Inhibitors; Rats; Rats, Inbred Strains; Saimiri"
15950514,2005,Journal of clinical forensic medicine,Journal Article,"Adolescent; Adult; Female; Forensic Medicine; HIV Infections; Health Knowledge, Attitudes, Practice; Hepatitis B; Hepatitis C; Humans; Illicit Drugs; London; Male; Mental Disorders; Middle Aged; Needle Sharing; Police; Prisoners; Prospective Studies; Substance-Related Disorders; Surveys and Questionnaires"
11598958,2001,"BioEssays : news and reviews in molecular, cellular and developmental biology","Journal Article; Research Support, Non-U.S. Gov't; Review","Animals; Cell Adhesion; Cell Differentiation; Cytoskeletal Proteins; Cytoskeleton; Desmosomes; Epithelial Cells; Humans; Mesoderm; Phosphorylation; Signal Transduction; Trans-Activators; Transcription, Genetic; beta Catenin; rho GTP-Binding Proteins"
25702837,2015,The Journal of allergy and clinical immunology,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't","Adolescent; Adult; CARD Signaling Adaptor Proteins; Candida; Candidiasis, Invasive; Central Nervous System; Child; Colitis; Consanguinity; Female; Gastrointestinal Tract; Gene Expression; Genetic Loci; Genome-Wide Association Study; Homozygote; Humans; Male; Meningoencephalitis; Pedigree; Sequence Analysis, DNA"
33123339,2020,Parkinson's disease,Journal Article,
15272811,2003,Folia medica,Case Reports; Journal Article; Review,"Adult; Biliary Fistula; Bronchial Fistula; Bulgaria; Echinococcosis, Hepatic; Female; Follow-Up Studies; Hepatectomy; Humans; Male; Middle Aged; Risk Assessment; Severity of Illness Index; Thoracotomy; Treatment Outcome"
36793225,2023,Clinical rehabilitation,Journal Article,Humans; Patellofemoral Pain Syndrome; Retrospective Studies; Reinjuries; Incidence; Lower Extremity; Knee Injuries; Knee Joint
22358852,2012,"Dalton transactions (Cambridge, England : 2003)",Journal Article,
8605937,1996,European journal of immunology,Journal Article,"Animals; Apoptosis; B-Lymphocytes; Cell Cycle; Cell Differentiation; Female; Lymphocyte Activation; Male; Mice; Mice, Inbred C57BL; Mice, Inbred CBA; Mice, Mutant Strains; Mutation; Proto-Oncogene Proteins; Proto-Oncogene Proteins c-bcl-2; X Chromosome; bcl-X Protein"
25317500,2014,Organic letters,"Journal Article; Research Support, Non-U.S. Gov't","Catalysis; Ethers, Cyclic; Hydrolysis; Molecular Structure; Molybdenum"
22116332,2011,Japanese journal of infectious diseases,Journal Article,Animals; Dog Diseases; Dogs; Humans; National Health Programs; Rabies; Rabies Vaccines; Raccoons; Republic of Korea; Retrospective Studies; Vaccination
26428796,2015,The Journal of the Acoustical Society of America,"Journal Article; Research Support, Non-U.S. Gov't",
29186140,2017,PloS one,Journal Article,"Animals; Asia, Southeastern; DNA, Mitochondrial; Female; Fossils; Genetic Variation; Isoptera; Microsatellite Repeats; Phylogeography"
16557693,1970,Infection and immunity,Journal Article,
35035004,2023,Journal of business ethics : JBE,Journal Article,
33763348,2021,Frontiers in oncology,Journal Article; Review,
36278149,2022,Frontiers in pharmacology,Journal Article; Review,
28067336,2017,Scientific reports,"Journal Article; Research Support, Non-U.S. Gov't",Biomass; Ecosystem; Forests; Nitrogen; Nitrogen Cycle; Poaceae; Trees; Tropical Climate
29294633,2019,Journal of interpersonal violence,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Adult; Animal Welfare; Animals; Child; Child Abuse; Coercion; Domestic Violence; Ethnicity; Exposure to Violence; Female; Humans; Intimate Partner Violence; Male; Pets; Qualitative Research; Survivors
35423256,2021,RSC advances,Journal Article; Review,
18336449,2008,"Journal of obstetric, gynecologic, and neonatal nursing : JOGNN",Journal Article; Review,Aggression; Dominance-Subordination; Humans; Interprofessional Relations; Nurses; Occupational Exposure; Self Concept; Shame; Social Behavior; United States; Violence
19325954,2008,American journal of pharmaceutical education,"Journal Article; Research Support, Non-U.S. Gov't","Community Pharmacy Services; Data Collection; Education, Pharmacy; Educational Measurement; Humans; Pharmacists; Preceptorship; Professional Competence; Professional Role; Students, Pharmacy"
10826544,1998,International ophthalmology,Journal Article,"Female; Humans; Infant, Newborn; Male; Oxygen; Respiration, Artificial; Retinopathy of Prematurity; Retrospective Studies; Risk Factors; Time Factors; Twins"
8780692,1996,Biochemical and biophysical research communications,"Journal Article; Research Support, Non-U.S. Gov't","Bacteriophage T4; Base Composition; Biophysical Phenomena; Biophysics; DNA, Viral; Microscopy, Fluorescence; Nucleic Acid Conformation"
